MID,doi,title,abstract,type_of_reference,id,first_authors,publication_year,volume,number,notes,alternate_title3,url,note,keywords,issn,author_address,language,start_page,end_page,alternate_title2,date,access_date,place_published,publisher,../Data/Data_0_Synergy.csv,../Data/Data_1_old_replication.csv,included_Data_0_Synergy.csv,included_Data_1_old_replication.csv
M1284,10.1037//0021-843x.109.2.188,Coping with Gulf War combat stress: Mediating and moderating effects.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1400,,Resilience to potential trauma: Toward a lifespan approach.,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M1492,10.4324/9780203943694,Combat Stress Injury,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1575,10.1016/j.jaac.2011.01.008,Attending to the Mental Health of War-Affected Children: The Need for Longitudinal and Developmental Research Perspectives,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1654,,PTSD in Service Members and New Veterans of the Iraq and Afghanistan Wars: A Bibliography and Critique,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M1681,10.1016/s0140-6736(06)69320-3,Mental health of Iraqi children,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1687,10.1001/jama.1984.03350140051025,Detecting Alcoholism,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1743,10.1176/appi.neuropsych.17.3.350,Diagnostic Criteria for Postconcussional Syndrome After Mild to Moderate Traumatic Brain Injury,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1748,10.1016/j.socscimed.2009.10.022,"Conflict, violence, and health: Setting a new interdisciplinary agenda",,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1851,10.1002/14651858.cd007944,Multiple session early psychological intervention to prevent and treat post-traumatic stress disorder,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M1908,10.4088/jcp.14com09450,Beyond Categorical Classifications: The Importance of Identifying Posttrauma Symptom Trajectories and Associated Negative Outcomes,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2002,10.1002/9780470756669.ch15,Coping with Missing Data,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2003,10.4135/9781483375366.n24,Communication in Military Families Across the Deployment Cycle,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2040,,"Scientific monograph of the Quebec Task Force on Whiplash-Associated Disorders: redefining ""whiplash"" and its management.",,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M2105,,"The assessment of optimistic self-beliefs: Comparison of the Chinese, Indonesian, Japanese, and Korean versions of the general self-efficacy scale",,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M2157,10.1037/11468-004,Attachment Bases of Emotion Regulation and Posttraumatic Adjustment.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2217,10.1016/j.jaac.2013.10.004,Transforming Trajectories for Traumatized Children,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M2223,,Full Information Estimation in the Presence of Incomplete Data,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M2330,10.1136/bmj.g2919,Wagner's migraine and other stories . . .,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2355,10.4324/9780203893104-8,"Promoting “resilient” posttraumatic adjustment in childhood and beyond: “Unpacking” life events, adjustment trajectories, resources, and interventions",,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2357,10.3928/00485713-20090201-05,The Duration of Deployment and Sensitization to Stress,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2554,,Conceptual and methodological issues in developmental psychopathology research,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M2625,10.3928/00485713-20090728-04,The Prevalence of PTSD across War Eras and the Effect of Deployment on PTSD:a Systematic Review and Meta-analysis,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2710,10.4135/9781412986311.n19,Latent Variable Analysis: Growth Mixture Modeling and Related Techniques for Longitudinal Data,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2764,10.1016/j.socscimed.2011.11.022,"Uses and abuses of the resilience construct: Loss, trauma, and health-related adversities",,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2849,10.1093/med:psych/9780195172492.003.0025,Psychological Resilience in the Face of Terrorism,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2952,10.1177/0004867414541816,Response to Fergusson and Boden: The psychological impact of major disasters,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M2976,,The detection of psychiatric illness by questionnaire,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M3016,10.1176/ajp.148.12.1730,L'automatisme psychologique,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3029,10.1002/9781119941101.ch13,Psycho-oncology in Underserved and Minority Populations,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3032,10.4088/jcp.14com09408,Trajectories of PTSD Symptoms and Predictive Factors of Trajectory Membership: A Step Toward Identifying Veterans at Risk,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3150,10.4324/9780203714928,Female Students and Cultures of Violence in Cities,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3169,10.1017/cbo9780511730030.034,Methodological Challenges in Studying the Mental Health Consequences of Disasters,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3217,10.1037/10409-010,Second-generation structural equation modeling with a combination of categorical and continuous latent variables: New opportunities for latent class–latent growth modeling.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3232,10.1037//0033-2909.129.1.52,Predictors of posttraumatic stress disorder and symptoms in adults: A meta-analysis.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3354,10.3928/00485713-20090728-05,The Historic Origins of Military and Veteran Mental Health Stigma and the Stress Injury Model as a Means to Reduce It,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3380,10.4088/jcp.14com09488,Improving Our Understanding of Posttraumatic Trajectories,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3457,,Manual for ASEBA School-Age Forms & Profiles,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M3515,10.1037/0022-006x.53.1.95,Social support in Vietnam veterans with posttraumatic stress disorder: A comparative analysis.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3570,10.1007/bf00977239,A prospective examination of post-traumatic stress disorder in rape victims,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3595,10.4088/jcp.14com09379,Viewing Suicide Risk Through a New Lens: The Benefits of Examining Symptom Trajectories,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3826,,Militærmedicinske erfaringer fra krigen mod terror,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M3867,,Late-life adaptation in the aftermath of extreme stress.,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M3943,10.1176/appi.ps.62.7.765,Barriers to Receiving Early Care for PTSD: Results From the Jerusalem Trauma Outreach and Prevention Study,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3969,10.3928/00485713-20090514-01,The Epidemiology of Posttraumatic Stress Disorder,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M3995,10.4135/9781446247648.n17,Crisis Intervention,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4041,,"Resilience, Vulnerability and the Course of Posttraumatic Reactions",,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,
M4059,10.1037//1040-3590.12.1.61,Acute stress disorder scale: A self-report measure of acute stress disorder.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4073,10.1016/j.injury.2009.06.309,The effect of compensation claims on outcomes after injury,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4112,10.1002/9781119998471.ch1a,Commentaries,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4120,10.1213/ane.0000000000000265,Psychological Trajectories after Intraoperative Awareness with Explicit Recall,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4337,10.1017/cbo9780511730030.003,The Experience of Disaster:,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4540,10.1037/0022-006x.64.5.1054,The relationship of peritraumatic dissociation and posttraumatic stress: Findings in female Vietnam theater veterans.,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
M4708,10.1016/S2352-4642(22)00001-3,Lebanese youth's struggle amid socioeconomic turmoil,,JOUR,RefID:7282-yuan2022lebanese,"['Yuan, S.']",2022.0,6,2,['Export Date: 16 October 2023; Cited By: 0; ID: 22131'],The Lancet Child and Adolescent Health,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123246405&doi=10.1016%2fS2352-4642%2822%2900001-3&partnerID=40&md5=b7116bfb0f0f262513b408a7e720be07,Journal Article,,,,,81,82,,,,,,0.0,1.0,,
M5319,10.1093/ije/dyab234,Cohort Profile: COVIDMENT: COVID-19 cohorts on mental health across six nations,,JOUR,RefID:6633-unnarsdóttir2022cohort,"['Unnarsdóttir, A. B.', 'Lovik, A.', 'Fawns-Ritchie, C.', 'Ask, H.', 'Koiv, K.', 'Hagen, K.', 'Didriksen, M.', 'Christoffersen, L. A. N.', 'Gardarsson, A. B.', 'McIntosh, A.', 'Kähler, A. K.', 'Campbell, A.', 'Hauksdóttir, A.', 'Erikstrup, C.', 'Mikkelsen, D. H.', 'Altschul, D.', 'Thordardottir, E. B.', 'Frans, E. M.', 'Kvale, G.', 'Tómasson, G.', 'Kariis, H. M.', 'Jónsdóttir, H. L.', 'Rúnarsdóttir, H.', 'Magnúsdóttir, I.', 'Eid, J.', 'Jakobsdóttir, J.', 'Nielsen, K. R.', 'Kaspersen, K. A.', 'Milani, L.', 'Schou Trogstad, L. I.', 'Yi, L.', 'Bruun, M. T.', 'Sullivan, P. F.', 'Magnus, P. M.', 'Shen, Q.', 'Nesvag, R.', 'Brandlistuen, R. E.', 'Mägi, R.', 'Ostrowski, S. R.', 'Løkhammer, S.', 'Solem, S.', 'Reichborn-Kjennerud, T.', 'Hansen, T. F.', 'Werge, T.', 'Aspelund, T.', 'Porteous, D. J.', 'Fang, F.', 'Lehto, K.', 'Andreassen, O. A.', 'Pedersen, O. B. V.', 'Le Hellard, S.', 'Valdimarsdóttir, U. A.']",2022.0,51,3,['L2018939632 2022-06-30 2022-07-28; ID: 14734'],International journal of epidemiology,https://www.embase.com/search/results?subaction=viewrecord&id=L2018939632&from=export http://dx.doi.org/10.1093/ije/dyab234,Journal Article,"['adult', 'aged', 'Angst Symptom Sporgeskemaet', 'anxiety assessment', 'anxiety disorder', 'article', 'Bergen Insomnia Scale', 'biobank', 'blood donor', 'Chalder Fatigue Scale', 'cognition', 'cohort analysis', 'controlled study', 'coronavirus disease 2019', 'daytime somnolence', 'depression', 'Dimensional Obsessive Compulsive Scale', 'Emotional State Questionnaire', 'Estonia', 'father', 'fatigue', 'female', 'follow up', 'Generalized Anxiety Disorder-7', 'happiness', 'human', 'impact of event scale', 'insomnia', 'loneliness', 'major clinical study', 'male', 'mental disease', 'mental health', 'middle aged', 'mother', 'pandemic', 'Patient Health Questionnaire 9', 'patient reported-outcomes-measurement information system', 'patient-reported outcome', 'Perceived Stress Scale', 'Pittsburgh Sleep Quality Index', 'population', 'posttraumatic stress disorder', 'posttraumatic stress disorder checklist', 'public health', 'restless legs syndrome', 'reverse transcription polymerase chain reaction', 'Scotland', 'Short Form 12', 'Short Warwick-Edinburgh Mental Well-Being Scale', 'social media', 'Sweden', 'tertiary education', 'UCLA Loneliness Scale', 'urban population']",1464-3685 0300-5771,"U.A. Valdimarsdóttir, Center of Public Health Sciences, Faculty of Medicine, University of Iceland, Sturlugata 8, Reykjavik, Iceland",English,E108,E122,Int.J.Epidemiol.,,,,,0.0,1.0,,
M5409,10.1093/ije/dyw130,Cohort Profile: Maternal mental health and child development in situations of past violent conflict and ongoing adversity: The DILI birth cohort study,,JOUR,RefID:6533-tol2018cohort,"['Tol, W. A.', 'Rees, S. J.', 'Tay, A. K.', 'Tam, N.', 'Saldanha Segurado, A.', 'da Costa, Z. M.', 'da Costa Soares, E. S.', 'da Costa Alves, A.', 'Martins, N.', 'Silove, D. M.']",2018.0,47,1,['L620971348 2018-03-08 2019-01-11; ID: 16443'],International journal of epidemiology,https://www.embase.com/search/results?subaction=viewrecord&id=L620971348&from=export http://dx.doi.org/10.1093/ije/dyw130,Journal Article,"['article', 'child development', 'cohort analysis', 'depression', 'distress syndrome', 'Edinburgh Postnatal Depression Scale', 'human', 'human rights abuse', 'intermittent explosive disorder', 'maternal welfare', 'mental health', 'partner violence', 'perinatal depression', 'postnatal depression', 'posttraumatic stress disorder', 'priority journal', 'structured interview', 'violence', 'war']",1464-3685 0300-5771,"W.A. Tol, Department of Mental Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States",English,17,17h,Int.J.Epidemiol.,,,,,0.0,1.0,,
M5501,10.1111/head.12740,"Sawyer K, Bell KR, Ehde DM, et al. Longitudinal study of headache trajectories in the year after mild traumatic brain injury: Relation to posttraumatic stress disorder symptoms. Arch Phys Med Rehabil. 2015 Jul 26. pii:S0003-9993(15)00589-4",,JOUR,RefID:6437-taylor2016sawyer,"['Taylor, F. R.']",2016.0,56,2,['L608590549 2016-03-01 2016-03-09; ID: 16995'],Headache,https://www.embase.com/search/results?subaction=viewrecord&id=L608590549&from=export http://dx.doi.org/10.1111/head.12740,Journal Article,"['alcohol consumption', 'anger', 'anxiety assessment', 'anxiety disorder', 'checklist', 'confusion', 'critical incident stress', 'depression', 'disease association', 'dizziness', 'emergency health service', 'fatigue', 'fear', 'follow up', 'guilt', 'headache', 'human', 'illness trajectory', 'law enforcement', 'natural disaster', 'nightmare', 'note', 'outcome assessment', 'pain intensity', 'posttraumatic stress disorder', 'posttraumatic stress disorder checklist-civilian version', 'priority journal', 'rating scale', 'restlessness', 'sexual assault', 'military personnel', 'teleconsultation', 'thinking', 'traumatic brain injury']",1526-4610 0017-8748,,English,407,,,,,,,0.0,1.0,,
M5696,10.1176/appi.ajp.20221004,Replicating Predictive Cluster-Based Imaging Biotypes after Trauma: A Bridge Too Far?,,JOUR,RefID:6230-stein2023replicating,"['Stein, M. B.', 'Bomyea, J.']",2023.0,180,2,['L2023308599 2023-03-21 2023-03-29; ID: 14359'],American Journal of Psychiatry,https://www.embase.com/search/results?subaction=viewrecord&id=L2023308599&from=export http://dx.doi.org/10.1176/appi.ajp.20221004,Journal Article,"['anxiety disorder', 'brain region', 'cell activation', 'cluster analysis', 'comorbidity', 'editorial', 'follow up', 'functional magnetic resonance imaging', 'human', 'nerve cell', 'posttraumatic stress disorder', 'prediction', 'psychotrauma', 'substance abuse', 'suicidal behavior', 'traumatic brain injury']",1535-7228 0002-953X,"M.B. Stein, Department of Psychiatry, University of California, La Jolla, San Diego, United States",English,114,116,Am.J.Psychiatry,,,,,0.0,1.0,,
M5750,10.1176/appi.ajp.2017.17101176,Integrating dissociation,,JOUR,RefID:6172-spiegel2018integrating,"['Spiegel, D.']",2018.0,175,1,['L620199897 2018-01-17 2018-01-19; ID: 16474'],American Journal of Psychiatry,https://www.embase.com/search/results?subaction=viewrecord&id=L620199897&from=export http://dx.doi.org/10.1176/appi.ajp.2017.17101176,Journal Article,"['borderline state', 'comorbidity', 'depersonalization', 'disease association', 'dissociative amnesia', 'dissociative disorder', 'dissociative experiences scale', 'editorial', 'evidence based medicine', 'exposure therapy', 'functional neuroimaging', 'human', 'latent class analysis', 'life event', 'multiple personality', 'posttraumatic stress disorder', 'priority journal', 'psychotherapy', 'synaptic transmission']",1535-7228 0002-953X,"D. Spiegel, Department of Psychiatry and Behavioral Sciences, Stanford University, School of Medicine, Stanford, CA, United States",English,4,5,Am.J.Psychiatry,,,,,0.0,1.0,,
M5930,10.1016/j.neurol.2022.09.002,Sleep and armed conflict: future complications of war in Ukraine,,JOUR,RefID:5969-shkodina2022sleep,"['Shkodina, A. D.', 'Zhyvotovska, A. I.', 'Boiko, D. I.']",2022.0,178,9,['L2021024569 2022-11-21 2022-12-02; ID: 14565'],Revue neurologique,https://www.embase.com/search/results?subaction=viewrecord&id=L2021024569&from=export http://dx.doi.org/10.1016/j.neurol.2022.09.002,Journal Article,"['neurotransmitter', 'adjustment disorder', 'anxiety', 'circadian rhythm', 'cluster headache', 'cognitive defect', 'degenerative disease', 'demyelinating disease', 'depression', 'editorial', 'epilepsy', 'futurology', 'human', 'hypnic headache', 'insomnia', 'lifestyle modification', 'memory consolidation', 'migraine', 'nervous system development', 'nightmare', 'posttraumatic stress disorder', 'psychosocial disorder', 'refugee', 'seizure', 'sleep debt', 'sleep deprivation', 'sleep efficiency', 'sleep latency', 'sleep quality', 'sleep time', 'slow wave sleep', 'tension headache', 'Ukraine', 'war']",0035-3787,"A.D. Shkodina, Poltava State Medical University, Poltava, Ukraine",English,869,871,Rev.Neurol.,,,,,0.0,1.0,,
M6033,10.1016/S2215-0366(14)00120-5,Turn on and tune in to evidence-based psychedelic research,,JOUR,RefID:5858-sessa2015turn,"['Sessa, B.']",2015.0,2,1,['L601334940 2015-01-20 2015-01-26; ID: 17227'],The Lancet Psychiatry,https://www.embase.com/search/results?subaction=viewrecord&id=L601334940&from=export http://dx.doi.org/10.1016/S2215-0366(14)00120-5,Journal Article,"['midomafetamine', 'ketamine', 'psilocybine', 'psychedelic agent', 'alcoholics anonymous', 'anxiety disorder', 'cluster headache', 'cognition', 'depression', 'evidence based practice', 'follow up', 'functional magnetic resonance imaging', 'government', 'growth, development and aging', 'health care organization', 'human', 'magnetoencephalography', 'mental disease', 'meta analysis (topic)', 'note', 'obsessive compulsive disorder', 'posttraumatic stress disorder', 'prefrontal cortex', 'psychotherapy', 'religion', 'theory of mind']",2215-0374 2215-0366,"B. Sessa, Somerset Partnership Foundation NHS Trust, CAMHS, Foundation House, Wellsprings Road, Taunton, Somerset, United Kingdom",English,10,12,,,,,,0.0,1.0,,
M6034,10.1016/S0140-6736(12)60600-X,Shaping the renaissance of psychedelic research,,JOUR,RefID:5857-sessa2012shaping,"['Sessa, B.']",2012.0,380,9838,['L365279556 2012-07-27 2021-02-12; ID: 17422'],The Lancet,https://www.embase.com/search/results?subaction=viewrecord&id=L365279556&from=export http://dx.doi.org/10.1016/S0140-6736(12)60600-X,Journal Article,"['midomafetamine', 'ibogaine', 'ketamine', 'lysergide', 'psilocybine', 'psychedelic agent', 'alcoholism', 'anxiety disorder', 'cancer pain', 'cluster headache', 'depression', 'drug dependence', 'drug safety', 'functional neuroimaging', 'human', 'methamphetamine dependence', 'national health service', 'note', 'nuclear magnetic resonance imaging', 'obsessive compulsive disorder', 'opiate addiction', 'posttraumatic stress disorder', 'priority journal', 'psychotherapy', 'tobacco dependence', 'treatment duration']",1474-547X 0140-6736,"B. Sessa, CAMHS Team, Foundation House, Wellsprings Road, Taunton TA2 7PQ, United Kingdom",English,200,201,,,,,,0.0,1.0,,
M6232,10.1016/j.jpsychores.2018.12.012,Linking ventricular tachyarrhythmias following an acute coronary syndrome to trajectories of depression and anxiety,,JOUR,RefID:5635-sadlonova2019linking,"['Sadlonova, M.', 'Meyer, T.']",2019.0,117,,['L2001440909 2019-01-11 2019-01-29; ID: 16107'],Journal of psychosomatic research,https://www.embase.com/search/results?subaction=viewrecord&id=L2001440909&from=export http://dx.doi.org/10.1016/j.jpsychores.2018.12.012,Journal Article,"['implantable cardioverter defibrillator', 'antithrombocytic agent', 'beta adrenergic receptor blocking agent', 'catecholamine', 'dipeptidyl carboxypeptidase inhibitor', 'hydroxymethylglutaryl coenzyme A reductase inhibitor', 'interleukin 6', 'acute coronary syndrome', 'anxiety', 'Beck Depression Inventory', 'catecholamine blood level', 'depression', 'editorial', 'heart muscle ischemia', 'heart ventricle tachycardia', 'human', 'meta analysis (topic)', 'posttraumatic stress disorder', 'sympathetic tone']",1879-1360 0022-3999,"T. Meyer, Molekulare Psychokardiologie, Klinik für Psychosomatische Medizin und Psychotherapie, Georg-August-Universität Göttingen, Waldweg 33, Göttingen, Germany",English,63,64,J.Psychosom.Res.,,,,,0.0,1.0,,
M6709,10.1016/j.ynstr.2020.100246,Allopregnanolone (1938–2019): A trajectory of 80 years of outstanding scientific achievements,,JOUR,RefID:5128-pinna2020allopregnanolone,"['Pinna, G.']",2020.0,13,,['Export Date: 16 October 2023; Cited By: 11; ID: 23138'],Neurobiology of Stress,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089540190&doi=10.1016%2fj.ynstr.2020.100246&partnerID=40&md5=8f8eeed88e36c4aa39baa3ef90883247,Journal Article,,,,,,,,,,,,0.0,1.0,,
M6834,10.1016/j.csm.2022.05.003,Psychological Aspects of Adolescent Knee Injuries,,JOUR,RefID:4987-patankar2022psychological,"['Patankar, A. G.', 'Christino, M. A.', 'Milewski, M. D.']",2022.0,41,4,['L2020560113 2022-10-11 2023-01-26; ID: 14610'],Clinics in sports medicine,https://www.embase.com/search/results?subaction=viewrecord&id=L2020560113&from=export http://dx.doi.org/10.1016/j.csm.2022.05.003,Journal Article,"['adolescent', 'anterior cruciate ligament injury', 'athletic coping skills inventory 28', 'athletic identity', 'cognitive behavioral therapy', 'coping behavior', 'coping behavior assesment', 'depression', 'emotion assessment', 'health belief', 'human', 'identity', 'International Knee Documentation Committee scale', 'knee function', 'knee injury', 'Knee Injury and Osteoarthritis Outcome Score', 'knee self-efficacy scale', 'mental concentration', 'neurosis', 'Pain Catastrophizing scale', 'patient satisfaction', 'posttraumatic stress disorder', 'preoperative period', 'Profile of Mood States', 'psychological aspect', 'psychological care', 'quality of life', 'return to sport', 'review', 'self concept', 'Short Form 36', 'social support', 'Tampa scale for kinesiophobia', 'Tegner activity score']",1556-228X 0278-5919,"M.D. Milewski, Division of Sports Medicine, Department of Orthopaedic Surgery, Boston Children's Hospital, 300 Longwood Ave., Boston, MA, United States",English,595,609,Clin.Sports Med.,,,,,0.0,1.0,,
